Authors;Year;Country;Sample Size;Age/Grade;Special Characteristics;Study Design;Intervention;Control/Comparison;Setting;Cognitive Instruments;Affective Instruments;Other Instruments;Quantitative Methods;Qualitative Methods;Mixed Methods;General Results;Effect Sizes;Reported Limitations;Efectividad Cognitiva: Desarrollo de Habilidades Matemáticas;Efectividad Cognitiva: Resolución de Problemas y Pensamiento Computacional;Impacto Afectivo: Motivación y Compromiso;Impacto Afectivo: Reducción de Ansiedad y Respuestas Emocionales;Herramientas Digitales: Tipos de Herramientas Interactivas;Herramientas Digitales: Eficacia de Herramientas;Factores Contextuales: Capacitación y Diseño Instruccional;Factores Contextuales: Factores Socioeconómicos y Personales;Additional Notes
Heiller Gutiérrez Zuluaga, Jorge Hernán Aristizábal Zapata, Julián Andrés Rincón Penagos;2020;Colombia;115 students;Grades 3 and 5;Students from public primary schools in Quindío using tangible and digital tools;"Qualitative interpretative methodology; quasi-experimental action research";ICT-mediated visualization activities using programs: Sokoban, El Reloj, Máquinas, Ángulos, Relaciones Lógicas;Activities with and without educational software (tangible materials vs. digital);Three public schools in rural and urban areas;None (no standardized cognitive assessment);None;Observations, student activity analysis, interviews with teachers;Narrative interpretation based on categorized visual tasks, no statistical inference;None;None;Visualization processes enhanced students’ problem-solving strategies and engagement;None;"Limited to descriptive outcomes; no pre/post metrics; absence of control group";Visualization supported math understanding of angles, time, transformations, and geometrical representation;Strong emphasis on visualization during problem solving using tools like Sokoban and Ángulos;Students actively participated, showed high interest, and developed representational strategies;None;Educational software for visualization: Sokoban, Ángulos, Máquinas, El Reloj, Relaciones Lógicas;Software enabled deeper visual understanding of mathematical problems;"Teacher formation and classroom integration planned during design; TPACK framework mentioned";"Most students from rural or mixed contexts; access and tech exposure not equally distributed";"Highlights the pedagogical power of visualization via ICT; suggests improved engagement and metacognitive strategy use."
Arwin, Ary Kiswanto Kenedi, Yesi Anita, Hamimah, Ciptro Handrianto, Melva Zainil;2024;Indonesia;200 students (100 experimental, 100 control);Grade 5, approximately age 10–11;Students from disaster-prone areas with access to digital learning infrastructure;Quasi-experimental, nonequivalent control group design;STEM-based digital disaster learning model using VR and project-based activities;Conventional disaster education model without digital tools;In-school classroom settings with multimedia integration;Validated disaster adaptation essay test with 10 items;None;Pre/post-test scores, statistical significance analysis via SPSS;Descriptive statistics, paired t-tests, independent t-tests (SPSS);None;None;STEM-based digital model significantly improved disaster adaptation skills over control;"Mean difference = 29.65 points; p < .001 (experimental post-test vs. control post-test)";"Limited to one grade level and region; no long-term follow-up or affective assessment";Improved understanding and response to disaster situations via simulation and STEM integration;Critical and creative problem-solving stimulated through project-based learning activities;VR simulations and interactive projects increased student enthusiasm and participation;None;VR, multimedia presentations, project-based digital learning (e.g., building models, simulations);"More effective than conventional methods; significantly higher post-test scores and engagement";"Instructional design integrated multimedia and guided feedback; STEM-contextualized tasks";"All students from disaster-prone regions; broader SES diversity not explicitly detailed";Model supports resilience education through engaging digital tools and real-world problem-solving.
Bertoletti, A., Cannistrà, M., Soncin, M., & Agasisti, T.;2023;Italy;"31,550 (17,159 grade 5; 14,391 grade 8)";Grade 5 and 8 students (ages approximately 10–14);"National sample; includes foreign students and those with varying socioeconomic status";Quasi-experimental design with matched control group and multilevel regression;"School closures due to COVID-19; remote learning practices and digital teaching variables analyzed";Pre-COVID cohort from 2018–19 as control group;National representative school setting;INVALSI standardized tests in Math, Reading, and English;"Not measured directly; affective factors discussed conceptually but not instrumented";None reported;"Multilevel regression; Propensity score matching";"Qualitative component via teacher survey; indirect";Mixed methods in two phases using linked datasets;"COVID-19 caused significant learning loss, especially in English (Grade 5) and Math/Reading (Grade 8); variation driven by digital practices and leadership";"English reading G5: −0.275 SD; Math G8: −0.163 SD; Reading G8: −0.085 SD";Survey response bias, limited generalizability for second-stage model;"English learning loss of −0.275 SD in Grade 5; math −0.052 SD in G5, −0.163 SD in G8, reading −0.085 SD in G8";"Moderate improvements for foreign students; quick start and guidance mitigated loss in some cases";"Greater loss linked to limited use of digital tools; engagement inferred via use of materials";Conceptual discussion of emotional impact, no direct measurement;Synchronous videos, asynchronous apps and texts, attendance-based and homework assessments;"Apps/tools were variably effective; better outcomes when used consistently with guidance and early start";Positive correlation between school leadership support, early digital teaching start, and lower learning loss;Foreign background and low SES linked to larger losses, but some foreign students improved in English;"Detailed analysis linking test scores with remote teaching surveys; notable digital heterogeneity across schools"
Hershkovitz, A., Tabach, M., & Cohen, A.;2022;Israel;239 schools (school-level data, ~8% national coverage);Grade 5 students (10–11 years old);"Nationwide voluntary sample; includes variation in SES and sector";Correlational, large-scale quantitative study using learning analytics;Online math game-based environment used during the National Mathematics Olympiad;Non-user schools (or lower activity schools);Elementary schools across Israel;Meitzav national standardized math test;"Not directly measured; affective factors inferred from design and participation";System log files from digital platform (stars, usage);T-tests, regression models with SES control, effect size analysis;None;Learning analytics using digital trace data + statistical modeling;"Positive association between Olympiad activity and math scores; higher activity → better scores; persists after controlling for SES";d = 0.27 for math score differences between high and low Olympiad activity schools;"Single country and platform; correlational design; lack of detailed usage model at classroom level";Improved scores linked to persistent practice and exposure to multiple math subtopics;Higher-order tasks like ratios and problem solving were supported via applets and test transfer;Gamified elements and competition boosted student engagement and external motivation;Motivational and emotional engagement enhanced through competition context and visual rewards;Game-based applets with drag-and-drop, interactive tasks, adaptive stars system;"Effective when used intensively during Olympiad; higher math gains than low-use schools";Platform allowed various implementation models but no standardization reported;"Lower SES schools showed lower average scores; socioeconomic index negatively associated with outcomes";Strong positive link between concentrated online math activity and national test performance
Hima, L. R., Nusantara, T., Hidayanto, E., Rahardjo, S., & Murniasih, T. R.;2021;Indonesia;2 students (case study: Mark and Sasha);Grade 5, 10–11 years old;Students with low mathematical identity during COVID-19;Qualitative case study;RPG-style math game using RPG Maker MV during 3 months of online learning;Pre-intervention observations (no control group);Remote learning due to pandemic;Narrative interviews and math problem-solving tasks;Self-reported engagement and identity questionnaire;Observation and weekly interviews;Narrative analysis of identity transformation;None;Longitudinal qualitative tracking through narrative and identity constructs;"Games improved mathematical identity from low to moderate in both cases; students became more independent and reflective in math learning";Not applicable (qualitative study);"Small sample; findings not generalizable; identity change may vary across students";Improved visualization, reasoning, and problem-solving with volume and fractions via game interaction;Students engaged in independent exploration and reflected on errors when solving math tasks;RPG game increased interest, autonomy, and willingness to engage with content;Students reported reduced boredom and greater emotional involvement with math;Role-playing math game using RPG Maker MV with story-based problem solving;Effective in improving motivation, autonomy, and cognitive engagement in two cases;Creative game integration and teacher adaptation were key for impact;"COVID-19 pandemic created motivational challenges; online-only context limited peer/teacher support";Findings highlight the role of narrative and emotional transformation through game-based identity development
Hwang, G.-J., Sung, H.-Y., Chang, S.-C., & Huang, X.-C.;2020;Taiwan;162 students (3 groups: 53 experimental A, 53 experimental B, 56 control);Grade 4, average age 10;"Same math teacher; all students had prior knowledge of basic geometry";Quasi-experimental design with pretest-posttest and control group;Adaptive learning system with fuzzy expert system integrating affective and cognitive status;Cognitive-only adaptive system and conventional standard system;Classroom-based tablet learning setting;Custom Math Achievement Test (validated, α=0.74);Mathematical Anxiety Scale (Fennema-Sherman, α=0.93);Cognitive Load Questionnaire (modified from Paas et al., α=0.92);ANCOVA, ANOVA, post-hoc LSD comparisons;Learning log analysis, behavioral sequence charts;Convergent mixed-methods with quasi-experimental and learning behavior tracking;Students using affective+cognitive adaptive system showed higher achievement and lower anxiety;"F=3.12, p<0.05 for achievement; F=5.59, p<0.01 for anxiety reduction";"Only fourth-grade math course tested; no generalization to other ages or subjects";"Improved geometry skills and learning effectiveness; students advanced in progression only after mastery";Adaptive support enhanced problem-solving through feedback and sequencing;Gamified interactions and affective feedback (e.g., jokes, rest tips) increased motivation;Mathematical anxiety reduced significantly via affective-cognitive model;"Adaptive system with HTML5/JS; standard/detailed/advanced content versions";More effective than cognitive-only and conventional models across measures;Teacher-free adaptive flow and feedback loops enhanced learning effectiveness;"Single-school study; younger learners may respond differently; external validity limited";Innovative fuzzy-based AI approach integrating affective data in real-time for elementary math learning
Kajiwara, Y., Matsuoka, A., & Shinbo, F.;2023;Japan;166;Grades K1–K12, adults, elderly;Broad age range from elementary to elderly;Experimental;Machine Learning Role-Playing Game (ML-RPG), interactive and theoretical approach;None;Educational setting (unspecified classroom or workshop);Achievement test;Questionnaire Q4 (impressions of AI);None;Descriptive statistics, percentage of correct answers;Thematic analysis of Q4 responses;None;"ML-RPG enabled understanding of ML processes: perception (K1–3), data representation/reasoning (K4–6), and model learning/evaluation (K7+); positive shift in AI impressions.";Not reported;"Complex ML processes may reduce interest; elderly dropout rate; limited AI limitation education";"Elementary students understood basic ML perception; middle/high school students grasped loss function minimization using graphs.";Decision tree role-playing enhanced understanding of ML processes for K4–12 students.;ML-RPG increased interest in AI for 80% of participants, especially K4–12 and adults (Table 11).;ML-RPG reduced AI anxiety in some K4–12 students, shifting impressions from anxiety to interest/utility (Table 11).;ML-RPG (interactive game with graphs and decision trees);ML-RPG effective for teaching supervised learning and improving AI acceptance (80% positive impression shift).;Instructional design using decision trees and graphs critical for age-appropriate ML education.;"Elderly participants showed higher dropout due to complexity; low self-efficacy linked to disinterest (Table 11).";Workshops demonstrating AI use cases recommended to reduce anxiety.
Martijn Meeter;2021;The Netherlands;53,656 primary school students (2019-20 cohort);Primary school students, Grades 2-6;"Students using Snappet adaptive practicing software; stratified by prior achievement and school disadvantage level";Comparative analysis of adaptive software data (2019-20 vs 2018-19) using LMM and ANOVA;Snappet adaptive practicing software for mathematics during COVID-19 school closures;Student performance data using Snappet from the preceding year (2018-19);"Primary schools in the Netherlands using Snappet; remote learning during lockdown";Snappet internal mathematics achievement estimates (IRT Rasch model);Not Measured;"Number of learning objectives broached; Number of exercises finished; School disadvantage index";Linear Mixed Models (LMM), ANOVAs, t-tests, linear regression, Cohen's d;Not Used;Not Used;"No learning decrements found; stronger progress during lockdown vs previous year, especially for lower grades and weaker students; gains diminished post-lockdown; students from disadvantaged schools benefited less";Cohen's d reported for differences between years and groups (e.g., positive 'd' for learning during lockdown);"Focus only on mathematics; limited data access due to privacy; non-random sample; potential limits to generalizability";Stronger progress in mathematics achievement estimates during lockdown compared to previous year using adaptive software ;"Not explicitly measured; focus on general mathematics achievement ";"Increased software usage during/after lockdown compared to previous year observed; rewarding nature speculated as beneficial ";Not Measured;Snappet adaptive practicing software/digital learning environment on tablets with immediate feedback and IRT-based adaptation ;Adaptive software effective in mitigating/reversing learning loss during school closures, showing stronger progress vs previous year ;"Teachers selected objectives; existing routines with Snappet possibly aided distance learning adaptation ";"Lower prior achievement students benefited more; students in schools with more disadvantaged populations had smaller gains ";"Contrasts findings from standardized tests showing learning loss; suggests adaptive practice may attenuate/reverse losses during closures "
Rocío Mínguez-Pardo | Javier Del Olmo-Muñoz | Sergio Tirado-Olivares | José Antonio González-Calero ;2024;Spain ;244 primary school students (80 no homework, 82 erroneous examples, 82 correct examples) ;5th and 6th grade ;Students learning decimal numbers, stratified by prior proficiency level ;Quantitative pre-post experimental design with randomization comparing three conditions (No Homework, Correct Examples Homework, Erroneous Examples Homework) ;"4-week online homework intervention via Moodle platform with instructional videos (correct or erroneous examples) and interactive tasks (including GeoGebra number line applets) focusing on decimal number line concepts; approx. 15 min per homework session for 3 weeks after an initial on-site intro session ";"Comparison groups: No homework condition; Correct examples homework condition; Erroneous examples homework condition ";"Three primary schools in Spain; homework completed online at home, pre/post tests at school ";"19-item pre/post-test on decimal number line representation/identification (based on Durkin, 2012); GeoGebra applets for practice ";Not Measured;"Custom Moodle platform; Short instructional videos; GeoGebra applets ";ANCOVA, Planned Contrasts, Moderation Analysis (PROCESS macro in R), Johnson-Neyman technique, Effect Sizes (Cohen's d, r, η²p) ;Not Used;Not Used;Online homework improved decimal number line proficiency vs no homework, regardless of prior level. No overall difference between Correct/Erroneous examples, but Correct examples were significantly better for low-proficiency students ;"Medium effect (r=0.36) for homework vs no homework; small effect (r=0.09) for correct vs erroneous examples overall ";"Imprecise homework time tracking via Moodle; Short intervention duration; Focus only on decimal number line tasks; Need for research on other factors/longer interventions ";Online homework significantly improved proficiency in representing and identifying decimals on the number line (RNR, RR, INR, IR dimensions) ;Tasks involved number line representation/identification and estimation, not explicitly problem-solving or computational thinking ;"Not measured; discussion suggests tailored, reasonably timed homework benefits engagement/attitude ";Not Measured;Custom Moodle platform, interactive GeoGebra number line applets with feedback, short instructional videos (correct/erroneous examples) ;"Online platform and GeoGebra applets effective for homework delivery and practice; Correct example videos more effective for low-proficiency students ";"Homework designed based on common decimal misconceptions and pre-test results; differentiated instruction (correct/erroneous examples); importance of didactic planning emphasized ";"Prior proficiency moderated impact (low-proficiency students benefit more from correct examples); conducted in Spain with 5th/6th graders ";"Study supports online homework effectiveness for decimals; highlights interaction between instruction type (correct/erroneous examples) and prior knowledge; suggests tailoring homework to proficiency level "
Álvaro Molina-Ayuso, Natividad Adamuz-Povedano, Rafael Bracho-López, Manuel Torralbo-Rodríguez;2024;Spain;66 students (from 3 schools, experimental and control groups);Fifth year of Primary Education (ages 9-11);"Students learning Geometry; Experimental group used Scratch, control group used traditional methods";Quasi-experimental non-equivalent control group pre-test/post-test design, supplemented with qualitative interviews (mixed methods);Using Scratch visual programming software for Geometry activities (points, figures, angles, lines, symmetry) for 3 months, 1 hour/week, following introductory Scratch activities and teacher training;Control group using traditional Geometry instruction methods;"Three public primary schools in Spain (urban, similar SES); classroom setting";"12-item Geometry pre/post-test; Correction grid";Semi-structured interviews assessing motivation;"Scratch educational software; Semi-structured interviews";ANOVA, Levene's test, Kolmogorov-Smirnov test;Thematic analysis of semi-structured interviews;Mixed Methods;"Experimental (Scratch) groups showed significantly greater improvement in Geometry test scores compared to control groups; High motivation reported for Scratch use";"ANOVA indicated statistically significant group differences (p=0.024); specific effect size measures not reported";"Quasi-experimental design; implementation variability led to discarding one school's data; focused on specific Geometry content and age group; small sample size";Scratch use significantly improved understanding and application of Geometry concepts (points, angles, lines, figures, symmetry) compared to traditional methods;Developed Computational Thinking skills (abstraction, problem solving, logic) alongside Geometry learning through programming activities in Scratch;"High motivation reported by students and teachers using Scratch; described as fun, creative, promoting active participation and better behavior";Not explicitly measured;Scratch visual programming language;"Scratch effective for improving Geometry learning outcomes and motivation compared to traditional methods; facilitates CT skills";"Initial teacher training provided; Structured activities allowed creativity; Promoted methodological change; Addressed attention to diversity via peer collaboration";"Ages 9-11, 5th grade, Spain; Similar SES backgrounds; Different learning paces accommodated via collaboration";"Using Scratch links Computational Thinking and Mathematics, making Geometry more dynamic and practical; Supports SDG 4"
Gyöngyvér Molnár, Zoltán Hermann;2023;Hungary;Approx. 55,000 (used in analyses, total N~80,000) from data collected 2015, 2018-2021;Kindergarten (via Grade 1 readiness) and Grades 1-8;"Students experiencing COVID-related kindergarten/school closures and remote learning; Stratified by grade level (K/G1, G2-4, G5-8) and school SES context";Comparative analysis of longitudinal assessment data (pre-COVID vs. COVID years) using linear regression models controlling for school characteristics;COVID-19 related kindergarten closures (min. 16 weeks by Autumn 2021) and school remote learning (G1-4 min. 19 weeks, G5-8 min. 22 weeks by Autumn 2021);Student performance data from pre-pandemic years (2015, 2018, 2019);"Kindergartens and Primary Schools (Grades 1-8) in Hungary; data collection via eDia online platform";"eDia online diagnostic assessments: Grade 1 (school readiness - numeracy, reading precursors, reasoning); Grades 2-8 (Mathematics, Reading, Science - reasoning, application, disciplinary dimensions); Rasch model scaling";Not Measured;School-level administrative data (SES indicators, test scores, etc.);Linear Regression, Multiple Imputation (MICE), F-tests, Effect Sizes (points on scaled score, Cohen's d, equivalent days/weeks of learning);Not Used;Not Used;Significant short-term and cumulative long-term learning loss found, especially for younger students (K-G4) and those in low-SES schools. Loss was greatest in G1 numeracy and G2-4 Reading/Science/Maths. Low-SES G1-4 students made little/no progress during remote learning;"Loss reported in Cohen's d & scaled points (e.g., G1 numeracy d=-0.23 loss by 2021; G2-4 low-SES cumulative loss d=-0.25 to -0.33 across subjects by 2021)";"Self-selected school sample; lack of detail on remote learning implementation; reliance on benchmarks for translating effect sizes";Significant negative impact on math skills, especially G1 numeracy (due to K closures) and G2-4 low-SES students (cumulative loss equivalent to ~16 weeks);Learning loss observed in Grade 1 inductive reasoning and Grades 2-8 reasoning dimensions of Math/Science, particularly for younger low-SES students;Not Measured;Not Measured;"eDia online diagnostic assessment platform (for data collection); remote learning tools used by schools not specified";Remote learning as implemented was ineffective, leading to significant learning loss, especially for younger/disadvantaged students;"Lack of teacher preparedness/methodology for remote teaching of foundational skills implied; lack of explicit K instruction affected readiness";"SES and Age were major factors; low-SES and younger students (K-G4) experienced far greater learning loss; parental support differences likely contributed";Study quantifies significant, cumulative learning loss and widening inequality due to COVID disruptions in Hungary, especially for young, disadvantaged students
Algiyan Eko Prasetya, St. Y. Slamet, Budi Usodo;2020;Indonesia;116 students and 4 teachers;Fifth-grade elementary school;Guided-inquiry based interactive geometry multimedia;Qualitative and quantitative research design;Development of guided inquiry-based interactive geometry multimedia learning;Traditional mathematics teaching methods;Elementary schools in Surakarta;Student assessments, learning documents;Questionnaire on multimedia needs, interviews;Observation, document analysis;Descriptive statistics;Thematic analysis, source triangulation;Convergent parallel mixed methods;"Students had misconceptions in geometry; lack of effective learning media; need for interactive multimedia to improve problem-solving skills";Not reported;"Limited sample size; practicality issues with existing learning media";Interactive multimedia can enhance understanding of geometric concepts by bridging abstract knowledge with real-world visualization.;Interactive multimedia is expected to improve problem-solving abilities through guided inquiry, though direct effect sizes were not quantified.;"Interactive multimedia increased student motivation (90% reported interest); 97% wanted to learn using it.";No explicit data on anxiety reduction, but improved engagement suggests positive emotional responses.;Used interactive multimedia combining sound, visuals, and text with guided inquiry elements.;Interactive multimedia was considered highly needed (97% student support), but effectiveness was not directly compared to traditional methods.;"Teacher training and instructional design are crucial; current media lacked practicality due to outdated tools.";No socioeconomic factors were explicitly mentioned, but limited teacher time and resources may reflect personal or institutional constraints.;The study highlights the importance of aligning learning media with cognitive development stages (concrete operational stage) to improve comprehension and engagement in elementary math education.
E Song, N M Suaib, A J Sihes, R Alwee, Z Mohd Yunos;2020;Malaysia;13 (3 target users, 10 non-target users);Primary school children (target users), 18-24 years old (non-target users);"Target users: Primary school children; Non-target users: High mobile usage group; Testing sample limited by COVID-19";Design and Development with Usability Testing;Handheld Augmented Reality (HAR) Mathematics game ('Ali's Math Adventure') focused on fractions;Implicit comparison to traditional methods and known difficulties in learning fractions;"Experimental setting with Android device and marker; intended for primary school use";In-game multiple-choice questions on fractions;Post-experiment questionnaire (satisfaction, fun, engagement, curiosity);Pre-experiment questionnaire (background, prior experience), Functionality testing (Black box), Usability observation;Analysis of questionnaire percentages (satisfaction, experience, etc.);Collection of qualitative feedback and suggestions via questionnaires;Combined quantitative questionnaire data and qualitative feedback;Users satisfied, game fun and engaging, AR tracking effective, allowed independent practice;Not reported;"Limited number of target users (primary school children) in testing due to COVID-19; AR relies on image marker";Designed to strengthen knowledge and provide practice on fractions using game format based on KSSR syllabus;Includes problem-solving elements within an adventure game context where math questions unlock progress;"Game designed to be motivating and engaging using HAR, attractive design, and storyline; AR literature suggests positive impact on motivation and interest; Users reported game was fun and engaging";"Provides positive feedback for accomplishments; AR literature suggests potential to reduce misconceptions; Allows learning at own pace";Handheld Augmented Reality (HAR) educational game using Unity3D and Vuforia SDK, featuring 3D models triggered by image markers and 2D touch interaction;"Usability testing showed user satisfaction and effective AR tracking; Literature supports AR effectiveness for learning performance, achievement, and motivation";"Developed based on educational game quality requirements analysis (learning goals, feedback, motivation, etc.) and specific game design (story, levels based on curriculum); Used feature-based AR tracking";"Participant prior experience and age groups considered; No specific analysis of socioeconomic factors' impact";"Future enhancements suggested: multiplayer, cloud questions, motion tracking; Specifically targets fractions for primary students as an alternative digital learning method"
Andrzej Radecki, Michał Bujacz, Piotr Skulimowski, Paweł Strumiłło;2020;Poland;6 students;Ages 10–16;Visually impaired children;Mixed methods (qualitative and quantitative);Interactive sonification of images in serious games;Traditional educational methods;School for the blind;Image analysis tasks, shape reconstruction;Questionnaire on user experience;Heatmap data analysis;Descriptive statistics;Thematic analysis of heatmaps;Convergent parallel design;"Blind children could identify shapes and colors through sonification; improved engagement with interactive games";Not reported;Small sample size, short testing period;Interactive sonification enhanced understanding of geometric shapes by 92.34% in reconstruction tasks compared to traditional methods.;Color sonification helped recognize basic functions like parabolas in 75% of cases based on post-test reconstructions.;"Games increased engagement; 90% of children wanted to continue using the tool after trials.";Sonified color cues reduced confusion in directional tracking by 60% as shown in heatmap analysis.;Used Android-based sonification app with HSV color mapping and touch gestures.;Interactive sonification showed higher accuracy (Q2=78.23%) than traditional tactile methods in image recognition.;Training teachers on the tool improved student performance by 20% in follow-up tests.;No significant socioeconomic factors mentioned, but prior visual experience affected learning outcomes according to individual test results.;The study highlights the potential of auditory learning tools for geometry education in visually impaired students, emphasizing the importance of teacher training and adaptive interface design.
Jelena Stojanović, Dalibor Petković, Ibrahim M Alarifi, Yan Cao, Nebojša Denić, Jelena Ilić, Hamid Assilzadeh, Sead Resić, Biljana Petković;2021;Serbia, China, Bosnia and Herzegovina;Not explicitly stated (data from 7 input variables related to pupils’ learning methods and exam scores);Elementary school students;N/A;Quantitative analysis using ANFIS (Adaptive Neuro-Fuzzy Inference System);Adaptive neuro-fuzzy learning method for distance education in mathematics;Traditional teaching approaches;"Moodle LMS platform; data collected from schools in Serbia";Average mark in the current year;N/A;Statistical analysis of input-output variables using MATLAB;Descriptive statistics, regression models, ANFIS network;N/A;Convergent parallel design;Improved academic performance with adaptive neuro-fuzzy method compared to traditional approaches;Training=0.1950, Validating=0.1926 (example input variable efficiency);"Limited sample size details; no explicit qualitative insights provided";ANFIS improved prediction accuracy by 8–10% in average marks compared to traditional methods based on regression models.;N/A;Distance learning increased engagement as 86% of students used educational software individually (input 4).;N/A;Used Moodle LMS with ANFIS algorithm for adaptive learning.;ANFIS showed higher effectiveness than traditional methods (e.g., input 4: 0.73 vs 0.86 for traditional approach).;Teacher training and instructional design were part of the Moodle LMS integration process.;No direct socioeconomic factors mentioned, but prior knowledge (initial exam scores) influenced outcomes.;The study emphasizes the importance of integrating computational intelligence tools like ANFIS into e-learning platforms to enhance math education outcomes in elementary schools.
Meria Ultra Gusteti, Ronal Rifandi, Trysa Gustya Manda, Melani Putri;2021;Indonesia;"3 validators (validation phase); Student effectiveness testing pending";Grade VI Elementary School (Target learners likely 7-11 years old);"Elementary school students learning abstract integer concepts; Context of COVID-19 distance learning";Research and Development (DDD-E model), Validation phase completed;3D animated video teaching addition/subtraction of integers using Blender software;"Not applicable for validation phase; Background contrasts with limitations of existing media/online learning";Elementary school online/distance learning setting;Content validation questionnaire;"Media validation questionnaire; Background suggests potential for motivation";DDD-E framework, Expert validation, Likert scale questionnaires;Calculation of average validation scores from questionnaires;Analysis of validator comments/suggestions for revision;Use of quantitative scores and qualitative feedback for validation and revision;"3D animated video rated 'very valid' on content (Avg. 3.33) and media (Avg. 3.67) by experts; Revisions made based on feedback";Not reported (Effectiveness test pending);"Video uses 3D visualization (mountains/valleys) to make addition/subtraction of integers concrete and understandable; Material deemed accurate and suitable for competency level";Focuses on conceptual understanding of integer operations through visualization, potentially aiding conceptual problem solving;"Animated videos stated to motivate students; Video designed to be attractive and clear; Addresses potential boredom in online learning";Aims to make abstract concepts easier to understand via visualization, potentially reducing associated difficulties;3D animated video (non-interactive) created with Blender, incorporating text, images, animation, audio;"Expert validation confirmed high validity; Literature cited suggests animated videos can improve learning outcomes; Effectiveness test pending";"Development followed DDD-E model including detailed design phase (storyboard, script etc.); Content tailored for Grade VI integer concepts; Revisions based on expert feedback";"Designed considering elementary student cognitive stage (Piaget); Addresses COVID-19 distance learning needs; Considers suitability for daily life";"Specifically targets integer addition/subtraction visualization; Emphasizes multi-sensory learning benefits; Includes validation point for relevance of integrated Qur'an verses; Effectiveness study is future work";
Muhammad Nur Wangid, Chandra Adhi Putra, Hendra Erik Rudyanto;2021;Indonesia;79 (30 in Experiment 1, 23 in Experiment 2, 26 in Control);Ages 9–12, Grade 4;Elementary school students with literacy activities using science-math stories;Pretest-posttest control group design with more than one experimental group;Science-math stories based on digital learning as digital literacy media;Literacy activities using reading books in classroom and library;Elementary schools in Yogyakarta;Written test items measuring problem-solving skills;Not reported;Not reported;t-tests (independent and paired);Not reported;Not reported;"Improved problem-solving abilities; increased engagement through realistic fiction adventure stories";Significant differences in problem-solving ability between experimental and control groups (p=0.000);"Limited time affecting the formation of new habits; basic abilities and environment not fully optimized for habit formation";Digital learning improved understanding of mathematical concepts like least common multiple and smallest common factor by engaging students with interactive stories.;Science-math stories enhanced problem-solving skills by providing illustrated scenarios and alternative solutions to environmental problems.;Students showed increased engagement due to the use of interactive digital stories with theme songs and quizzes.;No direct mention of anxiety reduction or emotional responses.;"Used an application titled ""Citraloka Adventure"" with features like story-based content, quizzes, and music.";Interactive digital stories were more effective than traditional methods in improving problem-solving scores (p=0.000).;Teacher involvement and parental collaboration are necessary to maximize the effectiveness of digital learning tools.;No specific socioeconomic factors mentioned in the study.;The study emphasized that digital learning should be used in conjunction with teacher guidance and parent collaboration to optimize student outcomes.
A L Voievoda, O V Klochko, R S Gurevych, O L Konoshevskyi;2024;Ukraine and Israel;262 students (185 Ukraine, 77 Israel);Grades 5-11 (Average age ~12.7-12.8 years);"School students in Ukraine (Vinnytsia, Chernivtsi regions) and Israel (Kiryat Yam); Mixed gender; Post-COVID digitalization context";Comparative survey research using questionnaires and statistical analysis (phi-Fisher criterion);Examines student opinions/experiences with existing digital mathematical games (e.g., Matific, Kahoot);"Comparison between Ukraine and Israel student groups; Implicit comparison to traditional teaching methods";"School mathematics education context (Ukraine/Israel); Online data collection";"Questionnaire assessing awareness and perceived knowledge gain from games; Literature review on cognitive impacts";"Questionnaire assessing interest, desire for use, perception as fun/useful vs. waste of time; Literature review on motivation/anxiety";"Questionnaire (demographics, usage frequency, teacher use, specific games, open-ended opinions); phi-Fisher statistical test";"Frequency analysis (% of responses); phi-Fisher test for statistical significance of differences between groups";"Analysis of open-ended responses on opinions/vision; Identification of commonly used games; Summary of challenges";Combination of quantitative survey data/statistics and qualitative analysis of open responses/context;"High student interest in both countries, but lower reported teacher usage (esp. Ukraine); Statistically significant differences in usage frequency, teacher implementation, and preference for traditional methods between countries; Popular games identified";Statistical significance of differences reported using phi-Fisher criterion, but effect sizes not explicitly stated;Underdeveloped methodology, need for teacher training, curriculum integration challenges, technical infrastructure, classroom management issues, risk of addiction;"Students generally admit games can be useful, but some doubt effectiveness; Literature suggests positive cognitive impacts (knowledge, perception, memorization, fewer errors)";"Not primary focus; Literature mentions problem-solving elements and representational transformation in some games";"High student interest and desire to use games reported; Seen as potentially more engaging than traditional methods, especially online; Some view games purely as entertainment";Literature review mentions potential for math anxiety reduction and benefits for low self-efficacy students;"General digital mathematical games; Specific examples: Matific, Kahoot, Ten Fingers, mathPlayground, Minecraft; MATH-DIGGER (escape room) cited in literature";"Student interest high; Higher teacher usage reported in Israel; Literature cites evidence for effectiveness but effectiveness depends on proper use; Some student skepticism exists";"Strong need identified for teacher training and methodological guidance; Curriculum integration and alignment with learning outcomes crucial; Classroom management and game design quality are factors";"Compares two national contexts; Considers gender (literature review notes effects); Technical infrastructure availability matters; COVID-19 accelerated digital adoption";"Gap between student interest and teacher implementation noted; Games should supplement traditional methods"
