Authors;Year;Country;General Results;Reported Limitations;Efectividad Cognitiva: Desarrollo de Habilidades Matemáticas;Efectividad Cognitiva: Resolución de Problemas y Pensamiento Computacional
Kajiwara, Y., Matsuoka, A., & Shinbo, F.;2023;Japan;"ML-RPG enabled understanding of ML processes: perception (K1–3), data representation/reasoning (K4–6), and model learning/evaluation (K7+); positive shift in AI impressions.";"Complex ML processes may reduce interest; elderly dropout rate; limited AI limitation education";"Elementary students understood basic ML perception; middle/high school students grasped loss function minimization using graphs.";Decision tree role-playing enhanced understanding of ML processes for K4–12 students.
Martijn Meeter;2021;The Netherlands;"No learning decrements found; stronger progress during lockdown vs previous year, especially for lower grades and weaker students; gains diminished post-lockdown; students from disadvantaged schools benefited less";"Focus only on mathematics; limited data access due to privacy; non-random sample; potential limits to generalizability";Stronger progress in mathematics achievement estimates during lockdown compared to previous year using adaptive software ;"Not explicitly measured; focus on general mathematics achievement "
Rocío Mínguez-Pardo | Javier Del Olmo-Muñoz | Sergio Tirado-Olivares | José Antonio González-Calero ;2024;Spain ;Online homework improved decimal number line proficiency vs no homework, regardless of prior level. No overall difference between Correct/Erroneous examples, but Correct examples were significantly better for low-proficiency students ;"Imprecise homework time tracking via Moodle; Short intervention duration; Focus only on decimal number line tasks; Need for research on other factors/longer interventions ";Online homework significantly improved proficiency in representing and identifying decimals on the number line (RNR, RR, INR, IR dimensions) ;Tasks involved number line representation/identification and estimation, not explicitly problem-solving or computational thinking 
Álvaro Molina-Ayuso, Natividad Adamuz-Povedano, Rafael Bracho-López, Manuel Torralbo-Rodríguez;2024;Spain;"Experimental (Scratch) groups showed significantly greater improvement in Geometry test scores compared to control groups; High motivation reported for Scratch use";"Quasi-experimental design; implementation variability led to discarding one school's data; focused on specific Geometry content and age group; small sample size";Scratch use significantly improved understanding and application of Geometry concepts (points, angles, lines, figures, symmetry) compared to traditional methods;Developed Computational Thinking skills (abstraction, problem solving, logic) alongside Geometry learning through programming activities in Scratch
Gyöngyvér Molnár, Zoltán Hermann;2023;Hungary;Significant short-term and cumulative long-term learning loss found, especially for younger students (K-G4) and those in low-SES schools. Loss was greatest in G1 numeracy and G2-4 Reading/Science/Maths. Low-SES G1-4 students made little/no progress during remote learning;"Self-selected school sample; lack of detail on remote learning implementation; reliance on benchmarks for translating effect sizes";Significant negative impact on math skills, especially G1 numeracy (due to K closures) and G2-4 low-SES students (cumulative loss equivalent to ~16 weeks);Learning loss observed in Grade 1 inductive reasoning and Grades 2-8 reasoning dimensions of Math/Science, particularly for younger low-SES students
Algiyan Eko Prasetya, St. Y. Slamet, Budi Usodo;2020;Indonesia;"Students had misconceptions in geometry; lack of effective learning media; need for interactive multimedia to improve problem-solving skills";"Limited sample size; practicality issues with existing learning media";Interactive multimedia can enhance understanding of geometric concepts by bridging abstract knowledge with real-world visualization.;Interactive multimedia is expected to improve problem-solving abilities through guided inquiry, though direct effect sizes were not quantified.
E Song, N M Suaib, A J Sihes, R Alwee, Z Mohd Yunos;2020;Malaysia;Users satisfied, game fun and engaging, AR tracking effective, allowed independent practice;"Limited number of target users (primary school children) in testing due to COVID-19; AR relies on image marker";Designed to strengthen knowledge and provide practice on fractions using game format based on KSSR syllabus;Includes problem-solving elements within an adventure game context where math questions unlock progress
Andrzej Radecki, Michał Bujacz, Piotr Skulimowski, Paweł Strumiłło;2020;Poland;"Blind children could identify shapes and colors through sonification; improved engagement with interactive games";Small sample size, short testing period;Interactive sonification enhanced understanding of geometric shapes by 92.34% in reconstruction tasks compared to traditional methods.;Color sonification helped recognize basic functions like parabolas in 75% of cases based on post-test reconstructions.
Jelena Stojanović, Dalibor Petković, Ibrahim M Alarifi, Yan Cao, Nebojša Denić, Jelena Ilić, Hamid Assilzadeh, Sead Resić, Biljana Petković;2021;Serbia, China, Bosnia and Herzegovina;Improved academic performance with adaptive neuro-fuzzy method compared to traditional approaches;"Limited sample size details; no explicit qualitative insights provided";ANFIS improved prediction accuracy by 8–10% in average marks compared to traditional methods based on regression models.;N/A
Meria Ultra Gusteti, Ronal Rifandi, Trysa Gustya Manda, Melani Putri;2021;Indonesia;"3D animated video rated 'very valid' on content (Avg. 3.33) and media (Avg. 3.67) by experts; Revisions made based on feedback";"Video uses 3D visualization (mountains/valleys) to make addition/subtraction of integers concrete and understandable; Material deemed accurate and suitable for competency level";Focuses on conceptual understanding of integer operations through visualization, potentially aiding conceptual problem solving;"Animated videos stated to motivate students; Video designed to be attractive and clear; Addresses potential boredom in online learning"
Muhammad Nur Wangid, Chandra Adhi Putra, Hendra Erik Rudyanto;2021;Indonesia;"Improved problem-solving abilities; increased engagement through realistic fiction adventure stories";"Limited time affecting the formation of new habits; basic abilities and environment not fully optimized for habit formation";Digital learning improved understanding of mathematical concepts like least common multiple and smallest common factor by engaging students with interactive stories.;Science-math stories enhanced problem-solving skills by providing illustrated scenarios and alternative solutions to environmental problems.
A L Voievoda, O V Klochko, R S Gurevych, O L Konoshevskyi;2024;Ukraine and Israel;"High student interest in both countries, but lower reported teacher usage (esp. Ukraine); Statistically significant differences in usage frequency, teacher implementation, and preference for traditional methods between countries; Popular games identified";Underdeveloped methodology, need for teacher training, curriculum integration challenges, technical infrastructure, classroom management issues, risk of addiction;"Students generally admit games can be useful, but some doubt effectiveness; Literature suggests positive cognitive impacts (knowledge, perception, memorization, fewer errors)";"Not primary focus; Literature mentions problem-solving elements and representational transformation in some games"
Melva Zainil, Ary Kiswanto Kenedi, Rahmatina, Tin Indrawati, Ciptro Handrianto;2024;Indonesia;"Significant improvement in all 6C skills in the experimental group compared to the control group; strong statistical significance (p=0.000) across all dimensions";"Short study duration limiting long-term impact assessment; need for longitudinal research";STEM-based digital learning improved critical thinking by 15.62 points (89.86 vs 74.24) and creative thinking by 14.72 points based on standardized 6C skill assessments.;STEM activities enhanced problem-solving through collaborative project-based tasks showing 12.32 point improvement in collaboration scores.
